"File","Line","Property","CurrentAttribute"
"C:\Users\Ian\source\repos\tradecontrol.web\src\TCWeb\Models\Invoice_vwSalesInvoiceSpool.cs","25","SubjectCode","[StringLength(10)]"
"C:\Users\Ian\source\repos\tradecontrol.web\src\TCWeb\Models\Invoice_vwSalesInvoiceSpoolByActivity.cs","25","SubjectCode","[StringLength(10)]"
"C:\Users\Ian\source\repos\tradecontrol.web\src\TCWeb\Models\Invoice_vwSalesInvoiceSpoolByItem.cs","25","SubjectCode","[StringLength(10)]"
"C:\Users\Ian\source\repos\tradecontrol.web\src\TCWeb\Models\Object_vwUnMirrored.cs","16","SubjectCode","[StringLength(10)]"
"C:\Users\Ian\source\repos\tradecontrol.web\src\TCWeb\Models\Project_vwActiveDatum.cs","21","SubjectCode","[StringLength(10)]"
"C:\Users\Ian\source\repos\tradecontrol.web\src\TCWeb\Models\Project_vwAllocationSvD.cs","21","SubjectCode","[StringLength(10)]"
"C:\Users\Ian\source\repos\tradecontrol.web\src\TCWeb\Models\Project_vwChangeLog.cs","25","SubjectCode","[StringLength(10)]"
"C:\Users\Ian\source\repos\tradecontrol.web\src\TCWeb\Models\Project_vwFlow.cs","38","SubjectCode","[StringLength(10)]"
"C:\Users\Ian\source\repos\tradecontrol.web\src\TCWeb\Models\Project_vwNetworkAllocation.cs","18","SubjectCode","[StringLength(10)]"
"C:\Users\Ian\source\repos\tradecontrol.web\src\TCWeb\Models\Project_vwNetworkChangeLog.cs","15","SubjectCode","[StringLength(10)]"
"C:\Users\Ian\source\repos\tradecontrol.web\src\TCWeb\Models\Project_vwNetworkEventLog.cs","41","SubjectCode","[StringLength(10)]"
"C:\Users\Ian\source\repos\tradecontrol.web\src\TCWeb\Models\Project_vwNetworkQuotation.cs","21","SubjectCode","[StringLength(10)]"
"C:\Users\Ian\source\repos\tradecontrol.web\src\TCWeb\Models\Project_vwOp.cs","66","SubjectCode","[StringLength(10)]"
"C:\Users\Ian\source\repos\tradecontrol.web\src\TCWeb\Models\Project_vwProfit.cs","17","SubjectCode","[StringLength(10)]"
"C:\Users\Ian\source\repos\tradecontrol.web\src\TCWeb\Models\Project_vwPurchaseEnquiryDeliverySpool.cs","42","SubjectCode","[StringLength(10)]"
"C:\Users\Ian\source\repos\tradecontrol.web\src\TCWeb\Models\Project_vwPurchaseEnquirySpool.cs","32","SubjectCode","[StringLength(10)]"
"C:\Users\Ian\source\repos\tradecontrol.web\src\TCWeb\Models\Project_vwPurchaseOrderDeliverySpool.cs","42","SubjectCode","[StringLength(10)]"
"C:\Users\Ian\source\repos\tradecontrol.web\src\TCWeb\Models\Project_vwPurchaseOrderSpool.cs","32","SubjectCode","[StringLength(10)]"
